Код;Товар;Группа;Штук за 24 мес;Нет литража в названии;Нет коробкоместа (fBASEUNITQUANTITY)
087;Ունիվերսալ մարգարիտ միկրոֆիբրե լաթ /30*30 սմ Silk Soft;27;27;ДА;ДА
046;Nescafe Gold/ Լուծվող սուրճ 190գր;23;26;ДА;ДА
3207;Ելակի մուրաբա 440գր;30;26;ДА;ДА
067;Ապակի մաքրող միջոց /Միստր Ջին 550լ;26;26;ДА;ДА
108;Soft Papyrus /անձեռոցիկ 100 հատ;28;26;ДА;ДА
059/3;Սպասք լվանալու հեղուկ NOVITEX 1 լ;041;26;;ДА
042;Փարիզյան սուրճ N 10/ փաթեթավորված սուրճ 250 գր;22;25;ДА;ДА
400;Վաֆլի  շոկոլադակաթնային  300 գր;040;24;ДА;ДА
063/3;Հեղուկ օճառ ծաղկային հրաշք  300մլ;26;24;;ДА
464;K222 Սպասք լվանալու սպունգ եռաշերտ 72.8*50.8*41.8;043;24;ДА;ДА
468;Active Հեղուկ ձեռքի օճառ 450 գրամ (pink);;23;ДА;ДА
434;Վաֆլի պնդուկի համով  300 գր;040;23;ДА;ДА
157/6;Ռախշա մաքրող միջոց  500*20հատ;;22;ДА;ДА
089;Ունիվերսալ երկկողմանի միկրոֆիբրե լաթ /30*30 սմ Silk Soft;27;22;ДА;ДА
3701;Թզի ջեմ 500գր;30;21;ДА;ДА
450;Ջրի էլեկտրական  մինի պոմպ;;21;ДА;ДА
216;Սպասք լվանալու հեղուկ ցիտր. (Ֆրոշ) 1000 մլ;25;20;;ДА
074/6;ՀԴՄ թուղթ /56*10 փոքր;;20;ДА;ДА
307;Լեդ լույս 36w քառակուսի պանել 4000K;033;20;ДА;ДА
104;Soft Papyrus /Երկշերտ անձեռոցիկ 150 թերթ;28;20;ДА;ДА
328/2;Թղթապանակ Ռեգիստր 8սմ Alba Rado ;035;20;ДА;ДА
203;A4 Թուղթ սնեգուրչկա;;19;ДА;ДА
062/4;Հեղուկ օճառ ծովային/ Միստր Ջին  5լ;26;19;;ДА
109;Soft Papyrus /եռաշերտ զուգարանի թուղթ 4հատ;28;19;ДА;ДА
060/1;Հեղուկ օճառելակ լիմոն/ Միստր Ջին  300մլ;26;19;;ДА
472;Թեյ Լիպտոն 32 x ( 25 x 2 գր);;19;ДА;ДА
047;Nescafe Gold/ Լուծվող սուրճ 95գր;23;19;ДА;ДА
444;Կրիսպի (Crispy) թխվ նարնջով 130 գր;040;18;ДА;ДА
445;Կրիսպի (Crispy) թխվ կակաոյով 130 գր;040;18;ДА;ДА
401;Վաֆլի  կաթնային  300 գր;040;18;ДА;ДА
101/1;Soft Papyrus զուգարանի թուղթ 6 հատ;28;18;ДА;ДА
469;Active Հեղուկ ձեռքի օճառ 450 գրամ (blue);;17;ДА;ДА
155;Միկրոն ֆայլ /OfficeSpace;035;17;ДА;ДА
313/5;Սուրճի խառնիչ փայտից 11 սմ (500 հատ);;16;ДА;ДА
106;Soft Papyrus Space /եռաշերտ անձեռոցիկ 70 թերթ;28;16;ДА;ДА
329;Նշումի թուղթ СТАММ 9*9*9 գունավոր;;16;ДА;ДА
027/5;Թղթյա սրբիչ Z 22-200 դիսպենսերի;;15;ДА;ДА
063/2;Հեղուկ օճառ ելակ/ հրաշք  300մլ;26;15;;ДА
302/1;Լեդ լույս 24w կլոր պանել արտաքին4000К;033;15;ДА;ДА
440;Քաղցրաբլիթ Պրյանիկ կիտրոնով 250 գ;040;15;ДА;ДА
302;Լեդ լույս 24w կլոր պանել 4000K;033;15;ДА;ДА
027/2;Սուրճ L.Oro հատիկավոր;;15;ДА;ДА
16973;Աղբաման գրասենյակային միջին d26սմ, h28սմ;;15;ДА;ДА
443;Թխվածքաբլիթ Մինի կակաոյով 120 գ;040;14;ДА;ДА
027/1;Սուրճ L.Crema e Aroma 1կգ հատիկավոր (LavAzza);;14;ДА;ДА
435;Վաֆլի  շոկոլադային  180 գր;040;14;ДА;ДА
101;Soft Papyrus Facial tissues/ երկշերտ անձեռոցիկ փոքր 260 թերթ;28;14;ДА;ДА
060/2;Հեղուկ օճառելակ խնձոր/ Միստր Ջին  300մլ;26;13;;ДА
055;Սպասք լվանալու ֆռոշ, կանաչ կիտրոն /500մլ;25;13;;ДА
386;Սպասք լվանալու հեղուկ / լիմոն չուդա 900մլ;;13;;ДА
3301;Հոնի մուրաբա 450գր;30;13;ДА;ДА
122;Նշումի թուղթ 2heng Hao 4*3/100մմ դեղին;035;13;ДА;ДА
060/3;Հեղուկ օճառելակ ծաղկային/ Միստր Ջին  300մլ;26;13;;ДА
446;Կրիսպի (Crispy) թխվ 130 գր;040;12;ДА;ДА
388;Ժավել Ջին/5.5կգ;;12;ДА;ДА
141/1;Սկոչ մեծ OfficeSpace 48մմ*100մ, 45մկմ;035;12;ДА;ДА
313/2;Տոպրակ պոլիէթ մեկանգամյա օգտագործման (60 հատ);;12;ДА;ДА
501;Աղ մանր ՈՍԿԵ ՀԱՍԿ 1կգ;;12;ДА;ДА
16557;Գրի գել Deli 0.5 կապույտ  EG65-BL;035;12;ДА;ДА
416;Թխվածքաբլիթ վարսակի չամիչով 300 գ;040;12;ДА;ДА
495;Segafredo Հատիկավոր սուրճ Selezione Crema 1կգ;;12;ДА;ДА
136;Գրիչ ռետինով;035;12;ДА;ДА
051;Vileda սպունգանման լաթեր 3հատ;25;12;ДА;ДА
3601;Գազարով տաքդեղ տոմոտի սոուսում 490գր;30;12;ДА;ДА
030;Royal Armenia Strong / լուծվող սուրճ 20հատ;21;12;ДА;ДА
8001;Մրգային օղի Վայրի տանձ;50;12;ДА;
065;Օդի թարմացուցիչ  ծաղկային/Միստր Ջին 430մլ;26;11;;ДА
417;Վաֆլի  շոկոլադային  300 գր;040;11;ДА;ДА
066;Ժավել /Միստր Ջին 1.1կգ;26;11;ДА;ДА
395;Աղի ձողիկ 35գ;040;11;ДА;ДА
116/2;Մարկեր գրատախտակի OfficeSpace կապույտ 2,5mm WBM;035;11;ДА;ДА
074/11;Ձեռնոց սինթետիկ սև M (100 հատ);26;11;ДА;ДА
441;Քաղցրաբլիթ Պրյանիկ կակաոյով 250 գ;040;10;ДА;ДА
048;Nescafe Classic Zip/ Լուծվող սուրճ 500գ;23;10;ДА;ДА
16556;Գրիչ գնդիկ ավտ Deli SCRIVIN 0.5 կապույտ EQ 105-BL;035;10;ДА;ДА
059;Սպասք լվանալու հեղուկ լիմոն/ Միստր Ջին  900մլ;26;10;;ДА
050;Nescafe Classic Zip/ Լուծվող սուրճ 320գ;23;10;ДА;ДА
060;Հեղուկ օճառելակ ելակ Միստր Ջին  300մլ;26;10;;ДА
045;Nescafe Classic Arabika 85գր;23;10;ДА;ДА
028;Timeoff/կանաչ լուծվող սուրճ 100գր;21;10;ДА;ДА
201;Նոթատետր A5 SinArLine առանձնացվող էջերով;035;10;ДА;ДА
116;Մարկեր գրատախտակի;035;10;ДА;ДА
074/8;Ձեռնոց սինթետիկ սև L (100 հատ);26;10;ДА;ДА
060/5;Հեղուկ օճառելակ տրոպիկական/ Միստր Ջին  300մլ;26;10;;ДА
062/3;Հեղուկ օճառ ծաղկային/ Միստր Ջին  5լ;26;9;;ДА
029;Timeoff/կապույտ լուծվող սուրճ 100գր;21;9;ДА;ДА
059/1;Սպասք լվանալու հեղուկ  խնձոր/ Միստր Ջին  900մլ;26;9;;ДА
16691;Շոկոլադե կոնֆետներ գլազուրապատ արմավի միջուկով (սև) EYVAN 150 գրամ;;9;ДА;ДА
16693;Շոկոլադե կոնֆետներ գլազուրապատ արմավի միջուկով (կաթնային) EYVAN 250 գրամ;;9;ДА;ДА
16695;Շոկոլադե կոնֆետներ գլազուրապատ արմավի միջուկով (սուրճի համով) EYVAN 250 գրամ;;8;ДА;ДА
113;Մարկեր գրատախտակի Կարմիր/  Office space 3մմ;035;8;ДА;ДА
16690;Շոկոլադե կոնֆետներ գլազուրապատ արմավի միջուկով (կաթնային) EYVAN 150 գրամ;;8;ДА;ДА
150;Բլոկնոտ SinArline /Libra A4 տողանի;035;8;ДА;ДА
160;A4 Կոճակով թղթապանակ;035;8;ДА;ДА
058/1;Սպասք լվանալու հեղուկ  խնձոր / Միստր Ջին 500մլ;26;8;;ДА
3325;Լոլիկի հյութ;;8;ДА;ДА
060/4;Հեղուկ օճառելակ ծովային/ Միստր Ջին  300մլ;26;8;;ДА
114;Թուղթ A4 Double A;035;7;ДА;ДА
061/4;Հեղուկ օճառ ծովային/ Միստր Ջին  500մլ;26;7;;ДА
061/3;Հեղուկ օճառ ծաղկային/ Միստր Ջին  500մլ;26;7;;ДА
032;Royal Armenia Classic/ լուծվող սուրճ 20հատ;21;7;ДА;ДА
442;Թխվածքաբլիթ Մինի 120 գ;040;7;ДА;ДА
16156;Սուրճ աղացած Ջամբո;;7;ДА;ДА
387;Օդի թարմացուցիչ UNIPACK ծովային թարմություն;;7;ДА;ДА
301;Լեդ լույս 18w կլոր պանել 4000K;033;6;ДА;ДА
477;Պահածոյացված ոլոռ TOP SUN 400 գ․;;6;ДА;ДА
478;Պահածոյացված ոլոռ TOP SUN 700 գ․;;6;ДА;ДА
514;Բլղուր ՈՍԿԵ ՀԱՍԿ 800գր;;6;ДА;ДА
16498;ֆոտոթուղթ JOJO 2 երես glossy 200գ A4 20թ;035;6;ДА;ДА
3200;Ֆեյխուայի ջեմ 440գր;30;6;ДА;ДА
3206;Ազնվամորու մուրաբա 440գր;30;6;ДА;ДА
479;Եգիպտացորեն TOP SUN 425 գ․;;6;ДА;ДА
463;K221 Չանգոտող մետաղալարե սպունգ սպասքի 20գ 2 հատ 72.8*50.8*41.8;043;6;ДА;ДА
3211/1;Սերկևիլի մուրաբա 440գր;30;6;ДА;ДА
476;Մարինացված վարունգ TOP SUN 680 գ․ x 12 (1-4 սմ);;6;ДА;ДА
016;Սև թեյ բրգաձև ծրարիկով/ Tess Pleasure;034;6;ДА;ДА
057;Frosch  Ունիվերսալ մաքրող միջոց /1լ;25;6;;ДА
100;Soft Papyrus Facial tissues/ եռաշերտ անձեռոցիկ 260 թերթ մեծ;28;6;ДА;ДА
3208;Մոշի մուրաբա 440գր;30;6;ДА;ДА
5101;Սմբուկ խորոված պահածոյացված 890գր ա/տ;30;6;ДА;ДА
063;Հեղուկ օճառ ծաղկային Հրաշք 5լ;26;6;;ДА
3211;Սերկևիլի մուրաբա;30;6;ДА;ДА
078;Երկշերտ անձեռոցիկ/150 թերթSilkSoft;27;6;ДА;ДА
081;Երկշերտ անձեռոցիկ/200 թերթ Silk soft;27;6;ДА;ДА
3902;Սինդրիկ մարինացված 700գր;30;6;ДА;ДА
123;Մկրատ;035;5;ДА;ДА
129;Գրատախտակի սպունգ;035;5;ДА;ДА
185;Սպունգ սպասք լվանալու/էժան;29;5;ДА;ДА
058;Սպասք լվանալու հեղուկ  լիմոն / Միստր Ջին 500մլ;26;5;;ДА
031;Royal Armenia Light / լուծվող սուրճ 20հատ;21;5;ДА;ДА
107;Soft Papyrus Deluxe /եռաշերտ անձեռոցիկ 100 թերթ;28;5;ДА;ДА
152;Ֆոտոթուղթ ինքնակպչունA4 135գր 50հատ;035;5;ДА;ДА
157;Դակիչ մեծ Libra N 24/6;035;5;ДА;ДА
058/2;Սպասք լվանալու հեղուկ նարինջ/ Միստր Ջին 500մլ;26;5;;ДА
321;ԼԵԴլույս 60w քառակուսի պանել 4000k;033;5;ДА;ДА
022;Royal Armenia Charm/Մանուշակագույն աղացած սուրճ;21;5;ДА;ДА
062/5;Հեղուկ օճառ տրոպիկական/ Միստր Ջին  5լ;26;5;;ДА
126;Սոսինձ Չոր Fantastik;035;5;ДА;ДА
127;Պլաստմասե քանոն 20սմ բռնակով;035;5;ДА;ДА
099;Soft Papyrus Facial / երկշերտ անձեռոցիկ 220 թերթ;28;5;ДА;ДА
082;Եռաշերտ խոհանոցային թղթե սրբիչ /30մ Silk soft;27;5;ДА;ДА
475;Արևածաղիկի ձեթ Իդեալ 1 լիտր;;5;;ДА
305;Լեդ լույս 18w քառակուսի պանել 4000K;033;5;ДА;ДА
156/1;Կարիչ N10 Kangaro hd-10;;5;ДА;ДА
035/1; Boochino Cappycchino Classic/ Լուծվող սուրճ 20հատ;21;5;ДА;ДА
017;Կանաչ թեյ  ծրարիկով/ Tess Flirt;034;5;ДА;ДА
005;Սև թեյ ծրարիկով/Spring Melody;034;5;ДА;ДА
085;Եռաշերտ զուգարանի թուղթ/4 հատ Silk Soft;27;5;ДА;ДА
112;Սկրեպ 33մմ YIDE/COSMIK 1*10/500;035;5;ДА;ДА
063/5;Հեղուկ օճառ ծովային/հրաշք 5լ;26;5;;ДА
163391;Active Հեղուկ ձեռքի օճառ 450 գրամ (violet);;5;ДА;ДА
16270;Ուրցի թեյ 37,5 գր;;5;ДА;ДА
16272;Նանաի թեյ 37,5 գր;;5;ДА;ДА
16271;Դաղձի Թեյ 37,5 գր;;5;ДА;ДА
16273;Լեռնային փունջ թեյ 37,5 գր;;5;ДА;ДА
399;Վաֆլե գլանակ պնդուկի համով միջուկով 130 գր;040;5;ДА;ДА
16274;Ուրց, Նանա, մոշի տերև  թեյ 37,5 գր;;5;ДА;ДА
402;Վաֆլե գլանակ շոկոլադային միջուկով 130 գր;040;5;ДА;ДА
496;Segafredo Հատիկավոր սուրճ Extra Mild 1կգ;;4;ДА;ДА
397;Քաղցր ձողիկներ բանանի 80գ;040;4;ДА;ДА
465;Գազօջախ մաքրող սփրեյ Ջին/450 մլ;043;4;;ДА
140;Սկոտչ փոքր 12մմ*30;035;4;ДА;ДА
095;Մանկական խոնավ անձեռոցիկներ կափարիչով /100հատ Silk Soft;27;4;ДА;ДА
135;Մատիտ սև Bic Evolution HB;035;4;ДА;ДА
008;Բուսական թեյ ծրարիկով/Rich Camomile;034;4;ДА;ДА
068;Ձեռքի սփրեյ ախտահանիչ /Միստր Ջին 450մլ;26;4;;ДА
151;Բլոկնոտ SinArline /Libra A4 վանդակավոր;035;4;ДА;ДА
066/1;Սանհանգույցը մաքրող միջոց Միստր ջին 750մլ;26;4;;ДА
9003;Ջրի դիսպենսեր/Բեռգ/;;4;ДА;ДА
205;Նոթատետր A4 SinArLine առանձնացվող էջերով;035;4;ДА;ДА
164;Բլոկնոտ A5 կաշվե/Notebook;035;4;ДА;ДА
120;Զաժիմ OfficeSpace 41մմ 12հատ;035;3;ДА;ДА
138;Գումարի ռեզին Flamingo 200 գր;035;3;ДА;ДА
146;Շտրիխ վրձին RETYPE 20մլ;035;3;;ДА
147;Սրիչ Dolphin;035;3;ДА;ДА
415;Թխվածքաբլիթ վարսակի 300 գ;040;3;ДА;ДА
154;Բլոկնոտ Fis/Libra A4 կապույտ վանդակավոր;035;3;ДА;ДА
036; Boochino Cappycchino chokolad/ Տաք շոկոլադ 10 հատ;21;3;ДА;ДА
304;Լեդ լույս 12w քառակուսի պանել 4000K;033;3;ДА;ДА
149;Բլոկնոտ SinArline A5 տողանի;035;3;ДА;ДА
134;Գրիչ Cello Finegrip mix կարմիր;035;3;ДА;ДА
176;Մարկեր/6հատ;035;3;ДА;ДА
9005;Ջրի դիսպենսեր/Վիկաս/;;3;ДА;ДА
119;Զաժիմ OfficeSpace 25մմ 12հատ;035;3;ДА;ДА
015;Սև թեյ բրգաձև ծրարիկով/ Tess Caramel Charm;034;3;ДА;ДА
184;Սպասքի սպիրալ;29;3;ДА;ДА
16919;Ռետինե Ձեռնոց M;;3;ДА;ДА
16972;Աղբաման մետաղական ոտնակով 8լ;;3;;ДА
8002;Մրգային օղի խաղող;50;3;ДА;
16694;Շոկոլադե կոնֆետներ գլազուրապատ արմավի միջուկով (սև) EYVAN 250 գրամ;;3;ДА;ДА
16709;Վաֆլե գլանակ վանիլային միջուկով 130 գր;;3;ДА;ДА
16369;Սանհանգույց մաքրող միջոց Domestos Ultra White 1500 մլ;;3;;ДА
066/2;Մաքրող և սպիտակեցնող միջոց - ժավել գել Ջին/1լ;26;2;;ДА
16497;Լամինացիոն թաղանթ Deli A4 100mic ET 174;035;2;ДА;ДА
500;Խոշոր Աղ Բարձր Տեսակի ՈՍԿԵ ՀԱՍԿ 1կգ;;2;ДА;ДА
303;Լեդ լույս 36w կլոր պանել 4000K;033;2;ДА;ДА
418;Արևելյան քաղցրավենիք LORAN 150 գ;040;2;ДА;ДА
16692;Շոկոլադե կոնֆետներ գլազուրապատ արմավի միջուկով (սուրճի համով) EYVAN 150 գրամ;;2;ДА;ДА
16569;մկրատ Deli 16սմE 6034;035;2;ДА;ДА
455;Սպասք լվանալու հեղուկ Խնձոր Հրաշք Փայլ 500 մլ;043;2;;ДА
481;Ձիթապտուղ կանաչ անկորիզ TOP SUN 350 գ․;;2;ДА;ДА
